weight_iv_premium,consensus_threshold,regime_extreme_low_scalar,regime_crisis_scalar,use_asymmetric_targets,sharpe,nw_sharpe,total_return,max_drawdown,trades
0.19,0.18,1.8,0.3,True,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.12,1.8,0.5,False,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.12,1.8,0.5,True,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.12,1.8,0.3,False,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.12,1.8,0.3,True,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.15,1.8,0.3,False,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.24,0.18,1.8,0.3,True,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.18,1.8,0.5,False,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.18,1.8,0.5,True,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.18,1.8,0.3,False,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.15,1.8,0.5,True,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.12,1.8,0.3,False,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.15,1.8,0.5,False,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.15,1.8,0.3,False,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.15,1.8,0.3,True,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.12,1.8,0.3,True,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.12,1.8,0.5,True,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.24,0.12,1.8,0.5,False,0.9299038285679675,-1.070584979529477,8.770680704063212,-2.8860087149165854,47
0.29,0.12,2.0,0.5,True,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.18,2.0,0.5,True,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.18,2.0,0.3,False,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.18,2.0,0.3,True,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.15,2.0,0.5,False,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.15,2.0,0.5,True,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.15,2.0,0.3,False,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.15,2.0,0.3,True,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.12,2.0,0.5,False,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.18,2.0,0.5,False,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.12,2.0,0.3,False,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.29,0.12,2.0,0.3,True,0.9246521538803013,-0.7028677185047373,10.785147635956061,-3.614248544327065,47
0.19,0.18,2.0,0.3,True,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.15,2.0,0.5,True,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.15,2.0,0.5,False,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.12,2.0,0.5,False,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.12,2.0,0.5,True,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.12,2.0,0.3,False,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.18,2.0,0.3,False,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.15,2.0,0.3,True,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.18,2.0,0.5,True,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.18,2.0,0.5,False,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.12,2.0,0.3,True,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.19,0.15,2.0,0.3,False,0.9144570910815667,-1.2231571466462998,8.04987287290259,-2.8144657646829665,47
0.24,0.18,2.0,0.3,False,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.18,2.0,0.3,True,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.15,2.0,0.3,False,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.18,2.0,0.5,True,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.18,2.0,0.5,False,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.15,2.0,0.3,True,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.12,2.0,0.5,False,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.12,2.0,0.5,True,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.15,2.0,0.5,True,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.12,2.0,0.3,False,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.12,2.0,0.3,True,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
0.24,0.15,2.0,0.5,False,0.9125591617266936,-0.9482646534563995,9.262181983144881,-3.2023799480106376,47
